Entity,Code,Day,total_vaccinations
Africa,,2021-04-12,13738363
Africa,,2021-04-13,13829084
Africa,,2021-04-14,14161070
Africa,,2021-04-15,14249700
Albania,ALB,2021-01-10,0
Albania,ALB,2021-01-12,128
Albania,ALB,2021-01-13,188
Albania,ALB,2021-01-14,266
Albania,ALB,2021-01-15,308
Albania,ALB,2021-01-16,369
Albania,ALB,2021-01-17,405
Albania,ALB,2021-01-18,447
Albania,ALB,2021-01-19,483
Albania,ALB,2021-01-20,519
Albania,ALB,2021-01-21,549
Albania,ALB,2021-02-02,550
Albania,ALB,2021-02-09,1127
Albania,ALB,2021-02-17,1701
Albania,ALB,2021-02-18,3049
Albania,ALB,2021-02-19,4177
Albania,ALB,2021-02-22,6728
Albania,ALB,2021-02-25,10135
Albania,ALB,2021-03-01,14295
Albania,ALB,2021-03-03,15793
Albania,ALB,2021-03-10,21613
Albania,ALB,2021-03-12,23635
Albania,ALB,2021-03-17,33369
Albania,ALB,2021-03-22,48229
Albania,ALB,2021-03-23,51690
Albania,ALB,2021-03-24,53992
Albania,ALB,2021-03-25,59348
Albania,ALB,2021-03-26,62248
Albania,ALB,2021-03-27,64075
Albania,ALB,2021-03-28,78000
Albania,ALB,2021-03-30,119321
Albania,ALB,2021-03-31,138846
Albania,ALB,2021-04-01,155463
Albania,ALB,2021-04-02,172486
Albania,ALB,2021-04-03,185496
Albania,ALB,2021-04-04,192882
Albania,ALB,2021-04-05,206708
Albania,ALB,2021-04-06,221588
Albania,ALB,2021-04-07,232379
Albania,ALB,2021-04-08,242542
Albania,ALB,2021-04-09,250676
Albania,ALB,2021-04-10,256810
Albania,ALB,2021-04-12,267531
Albania,ALB,2021-04-13,281216
Albania,ALB,2021-04-14,304488
Algeria,DZA,2021-01-29,0
Algeria,DZA,2021-01-30,30
Algeria,DZA,2021-02-19,75000
Andorra,AND,2021-01-25,576
Andorra,AND,2021-02-01,1036
Andorra,AND,2021-02-10,1291
Andorra,AND,2021-02-12,1622
Andorra,AND,2021-02-19,2141
Andorra,AND,2021-02-24,2390
Andorra,AND,2021-02-26,2526
Andorra,AND,2021-03-08,3611
Andorra,AND,2021-03-10,4914
Andorra,AND,2021-03-15,8363
Andorra,AND,2021-03-19,9288
Andorra,AND,2021-04-04,12440
Andorra,AND,2021-04-05,15269
Andorra,AND,2021-04-11,17091
Andorra,AND,2021-04-12,19064
Angola,AGO,2021-03-01,0
Angola,AGO,2021-03-08,6169
Angola,AGO,2021-03-18,49000
Angola,AGO,2021-03-24,87022
Angola,AGO,2021-03-29,130750
Angola,AGO,2021-04-06,181578
Angola,AGO,2021-04-11,245442
Anguilla,AIA,2021-02-04,0
Anguilla,AIA,2021-02-13,1341
Anguilla,AIA,2021-02-14,2762
Anguilla,AIA,2021-02-26,3929
Anguilla,AIA,2021-03-09,4700
Anguilla,AIA,2021-03-13,5000
Anguilla,AIA,2021-03-19,5348
Anguilla,AIA,2021-04-12,5835
Antigua and Barbuda,ATG,2021-02-16,0
Antigua and Barbuda,ATG,2021-03-15,24164
Antigua and Barbuda,ATG,2021-03-19,25677
Antigua and Barbuda,ATG,2021-03-25,26424
Antigua and Barbuda,ATG,2021-03-31,26836
Antigua and Barbuda,ATG,2021-04-03,27032
Argentina,ARG,2020-12-29,700
Argentina,ARG,2020-12-31,32013
Argentina,ARG,2021-01-04,39599
Argentina,ARG,2021-01-08,107542
Argentina,ARG,2021-01-13,166833
Argentina,ARG,2021-01-15,200759
Argentina,ARG,2021-01-20,247933
Argentina,ARG,2021-01-21,265724
Argentina,ARG,2021-01-22,279602
Argentina,ARG,2021-01-23,288064
Argentina,ARG,2021-01-24,292023
Argentina,ARG,2021-01-25,292386
Argentina,ARG,2021-01-26,305880
Argentina,ARG,2021-01-27,318033
Argentina,ARG,2021-01-28,327999
Argentina,ARG,2021-01-29,344034
Argentina,ARG,2021-01-30,366384
Argentina,ARG,2021-02-01,375851
Argentina,ARG,2021-02-03,396562
Argentina,ARG,2021-02-04,444018
Argentina,ARG,2021-02-06,471383
Argentina,ARG,2021-02-07,501152
Argentina,ARG,2021-02-08,511582
Argentina,ARG,2021-02-09,513178
Argentina,ARG,2021-02-10,535303
Argentina,ARG,2021-02-11,572928
Argentina,ARG,2021-02-12,591632
Argentina,ARG,2021-02-13,606245
Argentina,ARG,2021-02-14,609605
Argentina,ARG,2021-02-15,609791
Argentina,ARG,2021-02-16,611169
Argentina,ARG,2021-02-17,612322
Argentina,ARG,2021-02-18,635583
Argentina,ARG,2021-02-19,668654
Argentina,ARG,2021-02-20,707148
Argentina,ARG,2021-02-21,720267
Argentina,ARG,2021-02-22,722234
Argentina,ARG,2021-02-23,746615
Argentina,ARG,2021-02-24,780455
Argentina,ARG,2021-02-25,829832
Argentina,ARG,2021-02-26,903915
Argentina,ARG,2021-02-27,984895
Argentina,ARG,2021-02-28,1025003
Argentina,ARG,2021-03-01,1049169
Argentina,ARG,2021-03-02,1126108
Argentina,ARG,2021-03-03,1181292
Argentina,ARG,2021-03-04,1252461
Argentina,ARG,2021-03-05,1357596
Argentina,ARG,2021-03-07,1526078
Argentina,ARG,2021-03-08,1546699
Argentina,ARG,2021-03-09,1648957
Argentina,ARG,2021-03-10,1774438
Argentina,ARG,2021-03-11,1919074
Argentina,ARG,2021-03-12,2098205
Argentina,ARG,2021-03-13,2294738
Argentina,ARG,2021-03-14,2381429
Argentina,ARG,2021-03-15,2404194
Argentina,ARG,2021-03-16,2541362
Argentina,ARG,2021-03-17,2668103
Argentina,ARG,2021-03-18,2805153
Argentina,ARG,2021-03-19,2939364
Argentina,ARG,2021-03-20,3063864
Argentina,ARG,2021-03-21,3119828
Argentina,ARG,2021-03-22,3142444
Argentina,ARG,2021-03-23,3240731
Argentina,ARG,2021-03-24,3328933
Argentina,ARG,2021-03-25,3365839
Argentina,ARG,2021-03-26,3474415
Argentina,ARG,2021-03-27,3570460
Argentina,ARG,2021-03-28,3625283
Argentina,ARG,2021-03-29,3646068
Argentina,ARG,2021-03-30,3744566
Argentina,ARG,2021-03-31,3891932
Argentina,ARG,2021-04-01,4023017
Argentina,ARG,2021-04-02,4123152
Argentina,ARG,2021-04-03,4178896
Argentina,ARG,2021-04-04,4234505
Argentina,ARG,2021-04-05,4260808
Argentina,ARG,2021-04-06,4404175
Argentina,ARG,2021-04-07,4571819
Argentina,ARG,2021-04-08,4771214
Argentina,ARG,2021-04-09,4956023
Argentina,ARG,2021-04-10,5201468
Argentina,ARG,2021-04-11,5313612
Argentina,ARG,2021-04-12,5390000
Argentina,ARG,2021-04-13,5571878
Argentina,ARG,2021-04-14,5754919
Argentina,ARG,2021-04-15,5935146
Armenia,ARM,2021-03-31,565
Asia,,2020-12-15,1500000
Asia,,2020-12-19,1500061
Asia,,2020-12-20,1507433
Asia,,2020-12-21,1532308
Asia,,2020-12-22,1576924
Asia,,2020-12-23,1678709
Asia,,2020-12-24,1763116
Asia,,2020-12-25,1802028
Asia,,2020-12-26,1835595
Asia,,2020-12-27,1941950
Asia,,2020-12-28,2082293
Asia,,2020-12-29,2240801
Asia,,2020-12-30,2396356
Asia,,2020-12-31,5557186
Asia,,2021-01-01,5629068
Asia,,2021-01-02,5702090
Asia,,2021-01-03,5853548
Asia,,2021-01-04,6008097
Asia,,2021-01-05,6963413
Asia,,2021-01-06,7172165
Asia,,2021-01-07,7391748
Asia,,2021-01-08,7517942
Asia,,2021-01-09,12147081
Asia,,2021-01-10,12262752
Asia,,2021-01-11,12433252
Asia,,2021-01-12,12611459
Asia,,2021-01-13,13841122
Asia,,2021-01-14,14380232
Asia,,2021-01-15,14922016
Asia,,2021-01-16,15361242
Asia,,2021-01-17,15779259
Asia,,2021-01-18,16414697
Asia,,2021-01-19,17063842
Asia,,2021-01-20,22614488
Asia,,2021-01-21,23237662
Asia,,2021-01-22,24060104
Asia,,2021-01-23,24488525
Asia,,2021-01-24,24829124
Asia,,2021-01-25,25613228
Asia,,2021-01-26,26155308
Asia,,2021-01-27,34770264
Asia,,2021-01-28,35947481
Asia,,2021-01-29,37133206
Asia,,2021-01-30,37713708
Asia,,2021-01-31,39425110
Asia,,2021-02-01,40248335
Asia,,2021-02-02,40877881
Asia,,2021-02-03,48832157
Asia,,2021-02-04,49920138
Asia,,2021-02-05,51113771
Asia,,2021-02-06,51871118
Asia,,2021-02-07,52198701
Asia,,2021-02-08,52996159
Asia,,2021-02-09,63228607
Asia,,2021-02-10,64448886
Asia,,2021-02-11,65385364
Asia,,2021-02-12,66597053
Asia,,2021-02-13,67674086
Asia,,2021-02-14,68182974
Asia,,2021-02-15,69654990
Asia,,2021-02-16,71057863
Asia,,2021-02-17,72579080
Asia,,2021-02-18,74720510
Asia,,2021-02-19,76002892
Asia,,2021-02-20,77402501
Asia,,2021-02-21,77909305
Asia,,2021-02-22,78983231
Asia,,2021-02-23,80488890
Asia,,2021-02-24,81961149
Asia,,2021-02-25,83661467
Asia,,2021-02-26,85002886
Asia,,2021-02-27,86164290
Asia,,2021-02-28,98770331
Asia,,2021-03-01,100367463
Asia,,2021-03-02,102328675
Asia,,2021-03-03,104464025
Asia,,2021-03-04,106912473
Asia,,2021-03-05,109074419
Asia,,2021-03-06,111205608
Asia,,2021-03-07,112347588
Asia,,2021-03-08,115096106
Asia,,2021-03-09,117640068
Asia,,2021-03-10,120431514
Asia,,2021-03-11,121885526
Asia,,2021-03-12,124778862
Asia,,2021-03-13,127188452
Asia,,2021-03-14,140735083
Asia,,2021-03-15,145057353
Asia,,2021-03-16,148923627
Asia,,2021-03-17,152569588
Asia,,2021-03-18,155918970
Asia,,2021-03-19,161362230
Asia,,2021-03-20,175171862
Asia,,2021-03-21,176254201
Asia,,2021-03-22,186656320
Asia,,2021-03-23,193503160
Asia,,2021-03-24,200009258
Asia,,2021-03-25,209191663
Asia,,2021-03-26,219222120
Asia,,2021-03-27,227357654
Asia,,2021-03-28,232604096
Asia,,2021-03-29,239025429
Asia,,2021-03-30,245876971
Asia,,2021-03-31,256182666
Asia,,2021-04-01,268455612
Asia,,2021-04-02,280743662
Asia,,2021-04-03,287492546
Asia,,2021-04-04,294838515
Asia,,2021-04-05,302860477
Asia,,2021-04-06,312118342
Asia,,2021-04-07,319762330
Asia,,2021-04-08,332042797
Asia,,2021-04-09,342782450
Asia,,2021-04-10,351659799
Asia,,2021-04-11,358455135
Asia,,2021-04-12,368705318
Asia,,2021-04-13,376020325
Asia,,2021-04-14,384457070
Asia,,2021-04-15,392193127
Australia,AUS,2021-02-15,0
Australia,AUS,2021-02-16,0
Australia,AUS,2021-02-17,0
Australia,AUS,2021-02-18,0
Australia,AUS,2021-02-19,0
Australia,AUS,2021-02-20,0
Australia,AUS,2021-02-21,0
Australia,AUS,2021-02-22,20
Australia,AUS,2021-02-23,2879
Australia,AUS,2021-02-24,6908
Australia,AUS,2021-02-25,17500
Australia,AUS,2021-02-26,25000
Australia,AUS,2021-02-27,30000
Australia,AUS,2021-02-28,31894
Australia,AUS,2021-03-01,33702
Australia,AUS,2021-03-02,41907
Australia,AUS,2021-03-03,50840
Australia,AUS,2021-03-04,61008
Australia,AUS,2021-03-05,71867
Australia,AUS,2021-03-06,76940
Australia,AUS,2021-03-07,81345
Australia,AUS,2021-03-08,86369
Australia,AUS,2021-03-09,94908
Australia,AUS,2021-03-10,106200
Australia,AUS,2021-03-11,125000
Australia,AUS,2021-03-12,135103
Australia,AUS,2021-03-13,159294
Australia,AUS,2021-03-14,162551
Australia,AUS,2021-03-15,164781
Australia,AUS,2021-03-16,182437
Australia,AUS,2021-03-17,203557
Australia,AUS,2021-03-18,226057
Australia,AUS,2021-03-19,240754
Australia,AUS,2021-03-20,253831
Australia,AUS,2021-03-21,257019
Australia,AUS,2021-03-22,282184
Australia,AUS,2021-03-23,307525
Australia,AUS,2021-03-24,355254
Australia,AUS,2021-03-25,408410
Australia,AUS,2021-03-26,460155
Australia,AUS,2021-03-27,506465
Australia,AUS,2021-03-28,511520
Australia,AUS,2021-03-29,541761
Australia,AUS,2021-03-30,597523
Australia,AUS,2021-03-31,670349
Australia,AUS,2021-04-01,744328
Australia,AUS,2021-04-02,823611
Australia,AUS,2021-04-03,828416
Australia,AUS,2021-04-04,843182
Australia,AUS,2021-04-05,844309
Australia,AUS,2021-04-06,854983
Australia,AUS,2021-04-07,920334
Australia,AUS,2021-04-08,996145
Australia,AUS,2021-04-09,1077511
Australia,AUS,2021-04-10,1138866
Australia,AUS,2021-04-11,1166568
Australia,AUS,2021-04-12,1178302
Australia,AUS,2021-04-13,1234681
Australia,AUS,2021-04-14,1295672
Australia,AUS,2021-04-15,1359665
Austria,AUT,2020-12-27,732
Austria,AUT,2020-12-28,2029
Austria,AUT,2020-12-29,3648
Austria,AUT,2020-12-30,4996
Austria,AUT,2020-12-31,5004
Austria,AUT,2021-01-01,5008
Austria,AUT,2021-01-02,5014
Austria,AUT,2021-01-03,5015
Austria,AUT,2021-01-04,5131
Austria,AUT,2021-01-05,6921
Austria,AUT,2021-01-06,7754
Austria,AUT,2021-01-07,10930
Austria,AUT,2021-01-08,23886
Austria,AUT,2021-01-09,28289
Austria,AUT,2021-01-10,30509
Austria,AUT,2021-01-11,36123
Austria,AUT,2021-01-12,50681
Austria,AUT,2021-01-13,65899
Austria,AUT,2021-01-14,82420
Austria,AUT,2021-01-15,100451
Austria,AUT,2021-01-16,107208
Austria,AUT,2021-01-17,112891
Austria,AUT,2021-01-18,124272
Austria,AUT,2021-01-19,150039
Austria,AUT,2021-01-20,173485
Austria,AUT,2021-01-21,193111
Austria,AUT,2021-01-22,204765
Austria,AUT,2021-01-23,207884
Austria,AUT,2021-01-24,209123
Austria,AUT,2021-01-25,210610
Austria,AUT,2021-01-26,219089
Austria,AUT,2021-01-27,227078
Austria,AUT,2021-01-28,236884
Austria,AUT,2021-01-29,251827
Austria,AUT,2021-01-30,255513
Austria,AUT,2021-01-31,256868
Austria,AUT,2021-02-01,261500
Austria,AUT,2021-02-02,278552
Austria,AUT,2021-02-03,296284
Austria,AUT,2021-02-04,316351
Austria,AUT,2021-02-05,337252
Austria,AUT,2021-02-06,346237
Austria,AUT,2021-02-07,351246
Austria,AUT,2021-02-08,360838
Austria,AUT,2021-02-09,379927
Austria,AUT,2021-02-10,401522
Austria,AUT,2021-02-11,425675
Austria,AUT,2021-02-12,452141
Austria,AUT,2021-02-13,462471
Austria,AUT,2021-02-14,464481
Austria,AUT,2021-02-15,471568
Austria,AUT,2021-02-16,485973
Austria,AUT,2021-02-17,505227
Austria,AUT,2021-02-18,524744
Austria,AUT,2021-02-19,545991
Austria,AUT,2021-02-20,558905
Austria,AUT,2021-02-21,564868
Austria,AUT,2021-02-22,571753
Austria,AUT,2021-02-23,586364
Austria,AUT,2021-02-24,605932
Austria,AUT,2021-02-25,625674
Austria,AUT,2021-02-26,654137
Austria,AUT,2021-02-27,678705
Austria,AUT,2021-02-28,688997
Austria,AUT,2021-03-01,697594
Austria,AUT,2021-03-02,722581
Austria,AUT,2021-03-03,750218
Austria,AUT,2021-03-04,777166
Austria,AUT,2021-03-05,813300
Austria,AUT,2021-03-06,841223
Austria,AUT,2021-03-07,853076
Austria,AUT,2021-03-08,864490
Austria,AUT,2021-03-09,892520
Austria,AUT,2021-03-10,921235
Austria,AUT,2021-03-11,965632
Austria,AUT,2021-03-12,1023362
Austria,AUT,2021-03-13,1075274
Austria,AUT,2021-03-14,1104944
Austria,AUT,2021-03-15,1125593
Austria,AUT,2021-03-16,1153614
Austria,AUT,2021-03-17,1187467
Austria,AUT,2021-03-18,1221956
Austria,AUT,2021-03-19,1275256
Austria,AUT,2021-03-20,1322096
Austria,AUT,2021-03-21,1337569
Austria,AUT,2021-03-22,1353217
Austria,AUT,2021-03-23,1387895
Austria,AUT,2021-03-24,1426678
Austria,AUT,2021-03-25,1471584
Austria,AUT,2021-03-26,1521362
Austria,AUT,2021-03-27,1561882
Austria,AUT,2021-03-28,1576298
Austria,AUT,2021-03-29,1602451
Austria,AUT,2021-03-30,1642919
Austria,AUT,2021-03-31,1677319
Austria,AUT,2021-04-01,1718272
Austria,AUT,2021-04-02,1761380
Austria,AUT,2021-04-03,1782828
Austria,AUT,2021-04-04,1792769
Austria,AUT,2021-04-05,1805204
Austria,AUT,2021-04-06,1842352
Austria,AUT,2021-04-07,1896258
Austria,AUT,2021-04-08,1966725
Austria,AUT,2021-04-09,2042942
Austria,AUT,2021-04-10,2106633
Austria,AUT,2021-04-11,2132354
Austria,AUT,2021-04-12,2165642
Austria,AUT,2021-04-13,2208389
Austria,AUT,2021-04-14,2270119
Austria,AUT,2021-04-15,2334458
Azerbaijan,AZE,2021-01-17,0
Azerbaijan,AZE,2021-02-06,65000
Azerbaijan,AZE,2021-03-01,293360
Azerbaijan,AZE,2021-03-03,337315
Azerbaijan,AZE,2021-03-09,411496
Azerbaijan,AZE,2021-03-10,428635
Azerbaijan,AZE,2021-03-11,436849
Azerbaijan,AZE,2021-03-12,443888
Azerbaijan,AZE,2021-03-13,450316
Azerbaijan,AZE,2021-03-14,453586
Azerbaijan,AZE,2021-03-20,482664
Azerbaijan,AZE,2021-03-26,510420
Azerbaijan,AZE,2021-04-01,856363
Azerbaijan,AZE,2021-04-02,889033
Azerbaijan,AZE,2021-04-03,924813
Azerbaijan,AZE,2021-04-04,947745
Azerbaijan,AZE,2021-04-05,947947
Azerbaijan,AZE,2021-04-06,982291
Azerbaijan,AZE,2021-04-07,1025790
Azerbaijan,AZE,2021-04-08,1069488
Azerbaijan,AZE,2021-04-09,1111722
Azerbaijan,AZE,2021-04-10,1153549
Azerbaijan,AZE,2021-04-11,1177087
Azerbaijan,AZE,2021-04-12,1177187
Azerbaijan,AZE,2021-04-13,1212163
Azerbaijan,AZE,2021-04-14,1243191
Azerbaijan,AZE,2021-04-15,1271791
Bahamas,BHS,2021-03-17,110
Bahamas,BHS,2021-03-18,7000
Bahamas,BHS,2021-04-07,10000
Bahamas,BHS,2021-04-12,15000
Bahrain,BHR,2020-12-23,38965
Bahrain,BHR,2020-12-24,50071
Bahrain,BHR,2020-12-25,50543
Bahrain,BHR,2020-12-26,51556
Bahrain,BHR,2020-12-27,53614
Bahrain,BHR,2020-12-28,55014
Bahrain,BHR,2020-12-29,56041
Bahrain,BHR,2020-12-30,57317
Bahrain,BHR,2020-12-31,58643
Bahrain,BHR,2021-01-01,59351
Bahrain,BHR,2021-01-02,60097
Bahrain,BHR,2021-01-03,60689
Bahrain,BHR,2021-01-04,61612
Bahrain,BHR,2021-01-05,63893
Bahrain,BHR,2021-01-06,68472
Bahrain,BHR,2021-01-07,72239
Bahrain,BHR,2021-01-08,78291
Bahrain,BHR,2021-01-09,84157
Bahrain,BHR,2021-01-10,89250
Bahrain,BHR,2021-01-11,92598
Bahrain,BHR,2021-01-12,97776
Bahrain,BHR,2021-03-06,506519
Bahrain,BHR,2021-03-07,509907
Bahrain,BHR,2021-03-08,512420
Bahrain,BHR,2021-03-09,514559
Bahrain,BHR,2021-03-10,517901
Bahrain,BHR,2021-03-11,520429
Bahrain,BHR,2021-03-12,522344
Bahrain,BHR,2021-03-13,534625
Bahrain,BHR,2021-03-14,551197
Bahrain,BHR,2021-03-15,566796
Bahrain,BHR,2021-03-16,580539
Bahrain,BHR,2021-03-17,597446
Bahrain,BHR,2021-03-18,613946
Bahrain,BHR,2021-03-19,626751
Bahrain,BHR,2021-03-20,640104
Bahrain,BHR,2021-03-21,653236
Bahrain,BHR,2021-03-22,667155
Bahrain,BHR,2021-03-23,680081
Bahrain,BHR,2021-03-24,694679
Bahrain,BHR,2021-03-25,707980
Bahrain,BHR,2021-03-26,717408
Bahrain,BHR,2021-03-27,724001
Bahrain,BHR,2021-03-28,735717
Bahrain,BHR,2021-03-29,747008
Bahrain,BHR,2021-03-30,755549
Bahrain,BHR,2021-03-31,766317
Bahrain,BHR,2021-04-01,775196
Bahrain,BHR,2021-04-02,782530
Bahrain,BHR,2021-04-03,797924
Bahrain,BHR,2021-04-04,817379
Bahrain,BHR,2021-04-05,836788
Bahrain,BHR,2021-04-06,856326
Bahrain,BHR,2021-04-07,879825
Bahrain,BHR,2021-04-08,900875
Bahrain,BHR,2021-04-09,919222
Bahrain,BHR,2021-04-10,939068
Bahrain,BHR,2021-04-11,956471
Bahrain,BHR,2021-04-12,973982
Bahrain,BHR,2021-04-13,989363
Bahrain,BHR,2021-04-14,1008746
Bahrain,BHR,2021-04-15,1028323
Bangladesh,BGD,2021-01-26,0
Bangladesh,BGD,2021-01-27,26
Bangladesh,BGD,2021-01-28,567
Bangladesh,BGD,2021-02-07,31160
Bangladesh,BGD,2021-02-09,179318
Bangladesh,BGD,2021-02-10,337769
Bangladesh,BGD,2021-02-13,736680
Bangladesh,BGD,2021-02-14,906033
Bangladesh,BGD,2021-02-15,1132711
Bangladesh,BGD,2021-02-16,1359613
Bangladesh,BGD,2021-02-17,1586368
Bangladesh,BGD,2021-02-18,1848313
Bangladesh,BGD,2021-02-20,2082877
Bangladesh,BGD,2021-02-22,2308157
Bangladesh,BGD,2021-02-23,2491053
Bangladesh,BGD,2021-02-24,2673038
Bangladesh,BGD,2021-02-25,2850940
Bangladesh,BGD,2021-02-27,2984773
Bangladesh,BGD,2021-02-28,3110525
Bangladesh,BGD,2021-03-02,3341505
Bangladesh,BGD,2021-03-04,3581169
Bangladesh,BGD,2021-03-07,3682152
Bangladesh,BGD,2021-03-09,4013963
Bangladesh,BGD,2021-03-11,4218127
Bangladesh,BGD,2021-03-14,4398094
Bangladesh,BGD,2021-03-16,4580391
Bangladesh,BGD,2021-03-18,4687824
Bangladesh,BGD,2021-03-20,4760747
Bangladesh,BGD,2021-03-22,4911902
Bangladesh,BGD,2021-03-24,5069049
Bangladesh,BGD,2021-03-25,5139456
Bangladesh,BGD,2021-03-29,5319679
Bangladesh,BGD,2021-03-31,5370431
Bangladesh,BGD,2021-04-01,5412691
Bangladesh,BGD,2021-04-03,5452634
Bangladesh,BGD,2021-04-04,5498172
Bangladesh,BGD,2021-04-05,5539494
Bangladesh,BGD,2021-04-07,5568703
Bangladesh,BGD,2021-04-08,5664830
Bangladesh,BGD,2021-04-10,5821476
Bangladesh,BGD,2021-04-11,6010824
Bangladesh,BGD,2021-04-12,6172159
Barbados,BRB,2021-02-15,4490
Barbados,BRB,2021-02-16,6683
Barbados,BRB,2021-02-17,9115
Barbados,BRB,2021-02-18,11494
Barbados,BRB,2021-02-19,14411
Barbados,BRB,2021-02-20,15837
Barbados,BRB,2021-02-21,16544
Barbados,BRB,2021-02-22,19089
Barbados,BRB,2021-02-23,22037
Barbados,BRB,2021-02-24,25578
Barbados,BRB,2021-02-25,29283
Barbados,BRB,2021-02-26,33633
Barbados,BRB,2021-02-27,36749
Barbados,BRB,2021-02-28,38615
Barbados,BRB,2021-03-01,41125
Barbados,BRB,2021-03-02,43235
Barbados,BRB,2021-03-03,44859
Barbados,BRB,2021-03-04,46442
Barbados,BRB,2021-03-05,48480
Barbados,BRB,2021-03-06,48886
Barbados,BRB,2021-03-07,49317
Barbados,BRB,2021-03-08,49393
Barbados,BRB,2021-03-09,49757
Barbados,BRB,2021-03-10,50263
Barbados,BRB,2021-03-11,50703
Barbados,BRB,2021-03-12,50980
Barbados,BRB,2021-03-13,51595
Barbados,BRB,2021-03-14,52290
Barbados,BRB,2021-03-15,53129
Barbados,BRB,2021-03-16,54631
Barbados,BRB,2021-03-17,56018
Barbados,BRB,2021-03-18,58214
Barbados,BRB,2021-03-19,60206
Barbados,BRB,2021-03-20,61108
Barbados,BRB,2021-03-21,61752
Barbados,BRB,2021-03-22,61781
Barbados,BRB,2021-03-23,62765
Barbados,BRB,2021-03-25,62802
Barbados,BRB,2021-03-26,63689
Barbados,BRB,2021-03-29,63711
Barbados,BRB,2021-03-30,63715
Barbados,BRB,2021-03-31,63728
Barbados,BRB,2021-04-01,63735
Barbados,BRB,2021-04-02,63738
Barbados,BRB,2021-04-07,63747
Barbados,BRB,2021-04-08,64645
Barbados,BRB,2021-04-09,65867
Barbados,BRB,2021-04-10,65873
Barbados,BRB,2021-04-14,66069
Belarus,BLR,2020-12-28,0
Belarus,BLR,2021-02-18,20944
Belarus,BLR,2021-03-12,30000
Belarus,BLR,2021-03-26,66618
Belgium,BEL,2020-12-28,298
Belgium,BEL,2020-12-29,299
Belgium,BEL,2020-12-30,777
Belgium,BEL,2020-12-31,786
Belgium,BEL,2021-01-01,794
Belgium,BEL,2021-01-04,796
Belgium,BEL,2021-01-05,2445
Belgium,BEL,2021-01-06,6328
Belgium,BEL,2021-01-07,14510
Belgium,BEL,2021-01-08,23752
Belgium,BEL,2021-01-09,26958
Belgium,BEL,2021-01-10,27357
Belgium,BEL,2021-01-11,32936
Belgium,BEL,2021-01-12,48617
Belgium,BEL,2021-01-13,70029
Belgium,BEL,2021-01-14,93265
Belgium,BEL,2021-01-15,116587
Belgium,BEL,2021-01-16,121746
Belgium,BEL,2021-01-17,125051
